Index,year_film,category,name,film,winner
147,2020,ANIMATED FEATURE FILM,"Richard Phelan, Will Becher and Paul Kewley",A Shaun the Sheep Movie: Farmageddon,False
148,2020,ANIMATED FEATURE FILM,"Tomm Moore, Ross Stewart, Paul Young and Stéphan Roelants",Wolfwalkers,False
149,2020,CINEMATOGRAPHY,Erik Messerschmidt,Mank,True
150,2020,CINEMATOGRAPHY,Sean Bobbitt,Judas and the Black Messiah,False
151,2020,CINEMATOGRAPHY,Dariusz Wolski,News of the World,False
152,2020,CINEMATOGRAPHY,Joshua James Richards,Nomadland,False
153,2020,CINEMATOGRAPHY,Phedon Papamichael,The Trial of the Chicago 7,False
154,2020,COSTUME DESIGN,Ann Roth,Ma Rainey's Black Bottom,True
155,2020,COSTUME DESIGN,Alexandra Byrne,Emma,False
156,2020,COSTUME DESIGN,Trish Summerville,Mank,False
157,2020,COSTUME DESIGN,Bina Daigeler,Mulan,False
158,2020,COSTUME DESIGN,Massimo Cantini Parrini,Pinocchio,False
159,2020,DIRECTING,Chloé Zhao,Nomadland,True
160,2020,DIRECTING,Thomas Vinterberg,Another Round,False
161,2020,DIRECTING,David Fincher,Mank,False
162,2020,DIRECTING,Lee Isaac Chung,Minari,False
163,2020,DIRECTING,Emerald Fennell,Promising Young Woman,False
164,2020,DOCUMENTARY (FEATURE),"Pippa Ehrlich, James Reed and Craig Foster",My Octopus Teacher,True
165,2020,DOCUMENTARY (FEATURE),Alexander Nanau and Bianca Oana,Collective,False
166,2020,DOCUMENTARY (FEATURE),"Nicole Newnham, Jim LeBrecht and Sara Bolder",Crip Camp,False
167,2020,DOCUMENTARY (FEATURE),Maite Alberdi and Marcela Santibáñez,The Mole Agent,False
168,2020,DOCUMENTARY (FEATURE),"Garrett Bradley, Lauren Domino and Kellen Quinn",Time,False
169,2020,DOCUMENTARY (SHORT SUBJECT),Anthony Giacchino and Alice Doyard,Colette,True
170,2020,DOCUMENTARY (SHORT SUBJECT),Ben Proudfoot and Kris Bowers,A Concerto Is a Conversation,False
171,2020,DOCUMENTARY (SHORT SUBJECT),Anders Hammer and Charlotte Cook,Do Not Split,False
172,2020,DOCUMENTARY (SHORT SUBJECT),Skye Fitzgerald and Michael Scheuerman,Hunger Ward,False
173,2020,DOCUMENTARY (SHORT SUBJECT),Sophia Nahli Allison and Janice Duncan,A Love Song for Latasha,False
174,2020,FILM EDITING,Mikkel E. G. Nielsen,Sound of Metal,True
175,2020,FILM EDITING,Yorgos Lamprinos,The Father,False
176,2020,FILM EDITING,Chloé Zhao,Nomadland,False
177,2020,FILM EDITING,Frédéric Thoraval,Promising Young Woman,False
178,2020,FILM EDITING,Alan Baumgarten,The Trial of the Chicago 7,False
179,2020,INTERNATIONAL FEATURE FILM,Denmark,Another Round,True
180,2020,INTERNATIONAL FEATURE FILM,Hong Kong,Better Days,False
181,2020,INTERNATIONAL FEATURE FILM,Romania,Collective,False
182,2020,INTERNATIONAL FEATURE FILM,Tunisia,The Man Who Sold His Skin,False
183,2020,INTERNATIONAL FEATURE FILM,Bosnia and Herzegovina,"Quo Vadis, Aida?",False
184,2020,MAKEUP AND HAIRSTYLING,"Sergio Lopez-Rivera, Mia Neal and Jamika Wilson",Ma Rainey's Black Bottom,True
185,2020,MAKEUP AND HAIRSTYLING,"Marese Langan, Laura Allen and Claudia Stolze",Emma,False
186,2020,MAKEUP AND HAIRSTYLING,"Eryn Krueger Mekash, Matthew Mungle and Patricia Dehaney",Hillbilly Elegy,False
187,2020,MAKEUP AND HAIRSTYLING,"Gigi Williams, Kimberley Spiteri and Colleen LaBaff",Mank,False
188,2020,MAKEUP AND HAIRSTYLING,"Mark Coulier, Dalia Colli and Francesco Pegoretti",Pinocchio,False
189,2020,MUSIC (ORIGINAL SCORE),"Trent Reznor, Atticus Ross and Jon Batiste",Soul,True
190,2020,MUSIC (ORIGINAL SCORE),Terence Blanchard,Da 5 Bloods,False
191,2020,MUSIC (ORIGINAL SCORE),Trent Reznor and Atticus Ross,Mank,False
192,2020,MUSIC (ORIGINAL SCORE),Emile Mosseri,Minari,False
193,2020,MUSIC (ORIGINAL SCORE),James Newton Howard,News of the World,False
194,2020,MUSIC (ORIGINAL SONG),Fight For You,Judas and the Black Messiah,True
195,2020,MUSIC (ORIGINAL SONG),Hear My Voice,The Trial of the Chicago 7,False
196,2020,MUSIC (ORIGINAL SONG),Husavik,Eurovision Song Contest: The Story of Fire Saga,False
197,2020,MUSIC (ORIGINAL SONG),Io Sì (Seen),The Life Ahead (La Vita Davanti a Se),False
198,2020,MUSIC (ORIGINAL SONG),Speak Now,One Night in Miami...,True
199,2020,BEST PICTURE,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey and Chloé Zhao, Producers",Nomadland,True
200,2020,BEST PICTURE,"David Parfitt, Jean-Louis Livi and Philippe Carcassonne, Producers",The Father,False
201,2020,BEST PICTURE,"Shaka King, Charles D. King and Ryan Coogler, Producers",Judas and the Black Messiah,False
202,2020,BEST PICTURE,"Ceán Chaffin, Eric Roth and Douglas Urbanski, Producers",Mank,False
203,2020,BEST PICTURE,"Marc Platt and Stuart Besser, Producers",The Trial of the Chicago 7,False
204,2020,PRODUCTION DESIGN,Production Design: Donald Graham Burt; Set Decoration: Jan Pascale,Mank,True
205,2020,PRODUCTION DESIGN,Production Design: Peter Francis; Set Decoration: Cathy Featherstone,The Father,False
206,2020,PRODUCTION DESIGN,Production Design: Mark Ricker; Set Decoration: Karen O'Hara and Diana Stoughton,Ma Rainey's Black Bottom,False
207,2020,PRODUCTION DESIGN,Production Design: David Crank; Set Decoration: Elizabeth Keenan,News of the World,False
208,2020,PRODUCTION DESIGN,Production Design: Nathan Crowley; Set Decoration: Kathy Lucas,Tenet,False
209,2020,SHORT FILM (ANIMATED),Will McCormack and Michael Govier,If Anything Happens I Love You,True
210,2020,SHORT FILM (ANIMATED),Madeline Sharafian and Michael Capbarat,Burrow,False
211,2020,SHORT FILM (ANIMATED),Adrien Mérigeau and Amaury Ovise,Genius Loci,False
212,2020,SHORT FILM (ANIMATED),Erick Oh,Opera,False
213,2020,SHORT FILM (ANIMATED),Gísli Darri Halldórsson and Arnar Gunnarsson,Yes-People,False
214,2020,SHORT FILM (LIVE ACTION),Travon Free and Martin Desmond Roe,Two Distant Strangers,True
215,2020,SHORT FILM (LIVE ACTION),Doug Roland and Susan Ruzenski,Feeling Through,False
216,2020,SHORT FILM (LIVE ACTION),Elvira Lind and Sofia Sondervan,The Letter Room,False
217,2020,SHORT FILM (LIVE ACTION),Farah Nabulsi and Ossama Bawardi,The Present,False
218,2020,SHORT FILM (LIVE ACTION),Tomer Shushan and Shira Hochman,White Eye,False
219,2020,SOUND,"Nicolas Becker, Jaime Baksht, Michellee Couttolenc, Carlos Cortés and Phillip Bladh",Sound of Metal,True
220,2020,SOUND,"Warren Shaw, Michael Minkler, Beau Borders and David Wyman",Greyhound,False
221,2020,SOUND,"Ren Klyce, Jeremy Molod, David Parker, Nathan Nance and Drew Kunin",Mank,False
222,2020,SOUND,"Oliver Tarney, Mike Prestwood Smith, William Miller and John Pritchett",News of the World,False
223,2020,SOUND,"Ren Klyce, Coya Elliott and David Parker",Soul,False
224,2020,VISUAL EFFECTS,"Andrew Jackson, David Lee, Andrew Lockley and Scott Fisher",Tenet,True
225,2020,VISUAL EFFECTS,"Matt Sloan, Genevieve Camilleri, Matt Everitt and Brian Cox",Love and Monsters,False
226,2020,VISUAL EFFECTS,"Matthew Kasmir, Christopher Lawrence, Max Solomon and David Watkins",The Midnight Sky,False
227,2020,VISUAL EFFECTS,"Sean Faden, Anders Langlands, Seth Maury and Steve Ingram",Mulan,False
228,2020,VISUAL EFFECTS,"Nick Davis, Greg Fisher, Ben Jones and Santiago Colomo Martinez",The One and Only Ivan,False
229,2020,WRITING (ADAPTED SCREENPLAY),Screenplay by Christopher Hampton and Florian Zeller,The Father,True
230,2020,WRITING (ADAPTED SCREENPLAY),Screenplay by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Peter Baynham & Erica Rivinoja & Dan Mazer & Jena Friedman & Lee Kern; Story by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Nina Pedrad,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,False
231,2020,WRITING (ADAPTED SCREENPLAY),Written for the screen by Chloé Zhao,Nomadland,False
232,2020,WRITING (ADAPTED SCREENPLAY),Screenplay by Kemp Powers,One Night in Miami...,False
233,2020,WRITING (ADAPTED SCREENPLAY),Written for the screen by Ramin Bahrani,The White Tiger,False
234,2020,WRITING (ORIGINAL SCREENPLAY),Written by Emerald Fennell,Promising Young Woman,True
235,2020,WRITING (ORIGINAL SCREENPLAY),Screenplay by Will Berson & Shaka King; Story by Will Berson & Shaka King and Kenny Lucas & Keith Lucas,Judas and the Black Messiah,False
236,2020,WRITING (ORIGINAL SCREENPLAY),Written by Lee Isaac Chung,Minari,False
237,2020,WRITING (ORIGINAL SCREENPLAY),Screenplay by Darius Marder & Abraham Marder; Story by Darius Marder & Derek Cianfrance,Sound of Metal,False
238,2020,WRITING (ORIGINAL SCREENPLAY),Written by Aaron Sorkin,The Trial of the Chicago 7,False
