titles,summary,genre,year
Lymelife,A family unit begins to bow under the pressure of a failing marriage.,"Comedy, Drama, Romance",2008
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,"Adventure, Family, Fantasy",2005
The Life and Death of Peter Sellers,The feature adaptation of Roger Lewis' book about the actor best remembered as Inspector Clouseau in the Pink Panther movies.,"Biography, Comedy, Drama",2004
Madagascar,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.","Animation, Adventure, Comedy",2005
Calendar Girls,A Women's Institute chapter's fundraising effort for a local hospital by posing nude for a calendar becomes a media sensation.,"Comedy, Drama",2003
Girl with a Pearl Earring,A young peasant maid working in the house of painter Johannes Vermeer becomes his talented assistant and the model for one of his most famous works.,"Biography, Drama, Romance",2003
Elf,"After discovering he is a human, a man raised as an elf at the North Pole decides to travel to New York City to locate his real father.","Comedy, Family, Fantasy",2003
The Cooler,"In an old school Las Vegas casino, its top gambling jinx breaks his curse when he falls in love, much to his boss' consternation.","Drama, Romance",2003
Mission: Impossible III,IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,"Action, Adventure, Thriller",2006
Radio,The story of a high school coach and the developmentally challenged man who he took under his wing.,"Biography, Drama, Sport",2003
Veronica Guerin,An Irish journalist writes a series of stories about drug dealers.,"Biography, Crime, Drama",2003
Roger Dodger,"After breaking up with his lover and boss, a smooth-talking man takes his teenaged nephew out on the town in search of sex.","Comedy, Drama",2002
Rent,"This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America.","Drama, Musical, Romance",2005
The Emperor's Club,An idealistic prep school teacher attempts to redeem an incorrigible student.,Drama,2002
Igby Goes Down,A young man's peculiar upbringing renders him unable to competently cope with the struggle of growing up.,"Comedy, Drama",2002
The Majestic,"Set in 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son.","Drama, Romance",2001
The Rookie,A Texas baseball coach makes the major league after agreeing to try out if his high school team made the playoffs.,"Drama, Family, Sport",2002
Vanilla Sky,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,"Fantasy, Mystery, Romance",2001
Hearts in Atlantis,Widowed Liz Garfield and her son Bobby change when mysterious stranger Ted Brautigan enters their lives.,"Drama, Mystery",2001
Bully,"A pack of naïve teenagers conspire to murder a mutual friend, whose aggressive demeanor has proved too much.","Biography, Crime, Drama",2001
Serendipity,"A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.","Comedy, Romance",2001
Atlantis: The Lost Empire,A young adventurer named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,"Animation, Action, Adventure",2001
The Contender,"Senator Laine Hanson is a contender for U.S. Vice President, but information and disinformation about her past surfaces that threatens to derail her confirmation.","Drama, Thriller",2000
Shadow of the Vampire,The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.,"Drama, Horror",2000
A Knight's Tale,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.","Action, Adventure, Romance",2001
Bicentennial Man,An android endeavors to become human as he gradually acquires emotions.,"Comedy, Drama, Sci-Fi",1999
Detroit Rock City,"In 1978, four rebellious teenagers try to scam their way into a KISS concert.","Comedy, Music",1999
Any Given Sunday,A behind-the-scenes look at the life-and-death struggles of modern-day gladiators and those who lead them.,"Drama, Sport",1999
The Road to El Dorado,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado.","Animation, Adventure, Comedy",2000
Simon Birch,A young boy with stunted growth is convinced that God has a great purpose for him.,"Comedy, Drama, Family",1998
He Got Game,A basketball player's father must try to convince him to go to a college so he can get a shorter sentence.,"Drama, Sport",1998
Return to Paradise,Two friends must choose whether to help a third friend who was arrested in Malaysia for drug possession.,"Drama, Romance, Thriller",1998
Return to Me,A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.,"Comedy, Drama, Romance",2000
Zero Effect,The world's greatest detective Daryl Zero aided by his associate Steve Arlo investigates a complex and mysterious case of blackmail and missing keys for shady tycoon Gregory Stark who is less than forthcoming about what is really happening!,"Comedy, Crime, Drama",1998
Suicide Kings,A group of youngsters kidnap a respected Mafia figure.,"Comedy, Crime, Drama",1997
Private Parts,"The autobiographical story of Howard Stern, the radio rebel who is now also a TV personality, an author and a movie star.","Biography, Comedy, Drama",1997
Lolita,A man marries his landlady so he can take advantage of her daughter.,"Drama, Romance",1997
Liar Liar,A fast-track lawyer can't lie for 24 hours due to his son's birthday wish after he disappoints his son for the last time.,"Comedy, Fantasy",1997
Gridlock'd,"Two friends try to kick their drug addiction after a friend dies from an overdose, when they try to enroll in a detox program, things quickly go wrong.","Comedy, Crime, Drama",1997
Great Expectations,Modernization of Charles Dickens classic story finds the hapless Finn as a painter in New York City pursuing his unrequited and haughty childhood love.,"Drama, Romance",1998
The Edge,An intellectual billionaire and two other men struggle to band together and survive after getting stranded in the Alaskan wilderness with a blood-thirsty Kodiak Bear hunting them down.,"Action, Adventure, Drama",1997
Cop Land,"The Sheriff of a suburban New Jersey community, populated by New York City police officers, slowly discovers the town is a front for mob connections and corruption.","Crime, Drama, Thriller",1997
Con Air,Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.,"Action, Crime, Thriller",1997
Breakdown,A man searches for his missing wife after his car breaks down in the middle of the desert.,"Crime, Drama, Mystery",1997
That Thing You Do!,"A local Pennsylvania band scores a one hit wonder in 1964 and rides the star-making machinery as long as they can, with lots of help from its manager.","Comedy, Drama, Music",1996
Set It Off,"Desperation drives four inner-city women to bank robbery in Los Angeles, then they start mistrusting each other.","Action, Crime, Drama",1996
Matilda,"Story of a wonderful little girl, who happens to be a genius, and her wonderful teacher vs. the worst parents ever and the worst school principal imaginable.","Comedy, Family, Fantasy",1996
Kingpin,"A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches.","Comedy, Sport",1996
The Hunchback of Notre Dame,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.","Animation, Drama, Family",1996
Basquiat,"The brief life of Jean Michel Basquiat, a world renowned New York street artist struggling with fame, drugs and his identity.","Biography, Drama",1996
Get Shorty,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.","Comedy, Crime, Thriller",1995
Dead Presidents,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","Action, Crime, Drama",1995
Clockers,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.","Crime, Drama, Mystery",1995
Bad Boys,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,"Action, Comedy, Crime",1995
The Ref,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.","Comedy, Crime, Drama",1994
The Mask,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,"Action, Comedy, Crime",1994
Clear and Present Danger,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,"Action, Crime, Drama",1994
Ace Ventura: Pet Detective,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,Comedy,1994
The House of the Spirits,"A rancher, his clairvoyant wife and their family face turbulent years in South America in this adaptation of Isabel Allende's best-seller.","Drama, Romance",1993
Homeward Bound: The Incredible Journey,"A fun-loving American bulldog pup, a hilarious Himalayan cat, and a wise old golden retriever embark on a long trek through the rugged wilderness of the Sierra Nevada mountains in a quest to reach home and their beloved owners.","Adventure, Comedy, Drama",1993
Hocus Pocus,"A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.","Comedy, Family, Fantasy",1993
School Ties,"Set in the 1950s, a star-quarterback is given an opportunity to attend an elite preparatory school but must conceal the fact that he is Jewish.",Drama,1992
Patriot Games,"When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge.","Action, Thriller",1992
El Mariachi,A traveling mariachi is mistaken for a murderous criminal and must hide from a gang bent on killing him.,"Action, Crime, Thriller",1992
The Cutting Edge,A temperamental figure skater and a former hockey player try to win Olympic gold as a figure skating pairs team.,"Comedy, Drama, Romance",1992
Robin Hood: Prince of Thieves,"When Robin and his Moorish companion come to England and the tyranny of the Sheriff of Nottingham, he decides to fight back as an outlaw.","Action, Adventure, Drama",1991
Quigley Down Under,"Sharpshooter Matt Quigley is hired from Wyoming by an Australian rancher paying a very high price. But when Quigley arrives Down Under, all is not as it seems.","Action, Adventure, Drama",1990
The Naked Gun 2½: The Smell of Fear,Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.,"Comedy, Crime",1991
My Girl,"A young girl, on the threshold of her teen years, finds her life turning upside down, when she is accompanied by an unlikely friend.","Comedy, Drama, Family",1991
Grand Canyon,The fates of several people are intertwining randomly. Their sympathy of each other faces multiple differences in their lifestyles.,"Crime, Drama",1991
Dead Again,"A woman who has lost her memory is taken in by a Los Angeles orphanage, and a private eye is enlisted to track down her identity, but he soon finds that he might have a past life connection to her that endangers their lives.","Crime, Drama, Mystery",1991
The Addams Family,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,"Comedy, Fantasy",1991
The Rescuers Down Under,"The R.A.S. agents, Miss Bianca and Bernard, race to Australia to save a little boy and a rare golden eagle from a murderous poacher.","Animation, Adventure, Crime",1990
Presumed Innocent,"As a lawyer investigates the murder of a colleague, he finds himself more connected to the crime than anyone else.","Mystery, Thriller",1990
Night of the Living Dead,The unburied dead return to life and seek human victims.,Horror,1990
Memphis Belle,"In 1943, the crew of a B-17 based in UK prepares for its 25th and last bombing mission over Germany before returning home to the USA.","Action, Drama, War",1990
The Grifters,"A small-time conman has torn loyalties between his estranged mother and new girlfriend, both of whom are high-stakes grifters with their own angles to play.","Crime, Drama, Thriller",1990
DuckTales the Movie: Treasure of the Lost Lamp,"Scrooge McDuck takes Huey, Dewey, and Louie to Egypt to find a pyramid and magic lamp.","Animation, Adventure, Comedy",1990
"See No Evil, Hear No Evil","Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening.","Comedy, Crime",1989
Bill & Ted's Excellent Adventure,Two seemingly dumb teens set off on a quest to prepare the ultimate historical presentation with the help of a time machine.,"Adventure, Comedy, Music",1989
The 'Burbs,An overstressed suburbanite and his neighbors are convinced that the new family on the block are part of a murderous Satanic cult.,"Comedy, Mystery, Thriller",1989
Young Guns,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.","Action, Western",1988
Tucker: The Man and His Dream,"The story of Preston Tucker, the maverick car designer and his ill-fated challenge to the auto industry with his revolutionary car concept.","Biography, Drama",1988
Hairspray,A 'pleasantly plump' teenager teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,"Comedy, Drama, Family",1988
Frantic,"In a hotel room in Paris, a doctor comes out of the shower and finds that his wife has disappeared. He soon finds himself caught up in a world of intrigue, espionage, gangsters, drugs and murder.","Crime, Drama, Mystery",1988
Overboard,"A cruel but beautiful heiress mocks and cheats a hired carpenter. When she gets amnesia after an accident, he decides to introduce her to regular life by convincing her they're husband and wife.","Comedy, Romance",1987
La Bamba,Biographical story of the rise from nowhere of early rock and roll singer Ritchie Valens who died at age 17 in a plane crash with Buddy Holly and The Big Bopper.,"Biography, Drama, Music",1987
Fatal Attraction,A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.,"Drama, Thriller",1987
Adventures in Babysitting,A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.,"Adventure, Comedy, Crime",1987
Top Gun,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.","Action, Drama",1986
Something Wild,"A free-spirited woman ""kidnaps"" a yuppie for a weekend of adventure. But the fun quickly takes a dangerous turn when her ex-convict husband shows up.","Comedy, Crime, Romance",1986
Ruthless People,"A couple, cheated by a vile businessman, kidnap his wife in retaliation, without knowing that their enemy is delighted they did.","Comedy, Crime",1986
Lucas,"A socially inept fourteen-year-old experiences heartbreak for the first time when his two best friends - Cappie, an older-brother figure, and Maggie, the new girl with whom he is in love - fall for each other.","Comedy, Drama, Romance",1986
Heartbreak Ridge,"Hard-nosed, hard-living Marine Gunnery Sergeant Tom Highway (Clint Eastwood) clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.","Drama, War",1986
Flight of the Navigator,"In 1978, a boy travels 8 years into the future and has an adventure with an intelligent, wisecracking alien ship.","Adventure, Comedy, Family",1986
An American Tail,"While emigrating to the United States, a young Russian mouse gets separated from his family and must relocate them while trying to survive in a new country.","Animation, Adventure, Comedy",1986
Year of the Dragon,A police detective cracks down on organized crime in Chinatown after the murders of Triad and Mafia leaders.,"Action, Crime, Drama",1985
Rocky IV,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.","Drama, Sport",1985
The Last Dragon,"In New York City, a young man searches for a Master to obtain the final level of martial arts mastery known as the Glow.","Action, Comedy, Drama",1985
Fletch,"Irwin M. ""Fletch"" Fletcher is a newspaper reporter being offered a large sum to off a cancerous millionaire, but is on the run, risking his job and finding clues when it's clear the man is healthy.","Comedy, Crime, Mystery",1985
Enemy Mine,"During a long space war, the lives of two wounded enemies become dependent on their ability to forgive and to trust.","Action, Adventure, Drama",1985
Romancing the Stone,"A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue.","Action, Adventure, Comedy",1984
Repo Man,"A young punk recruited by a car repossession agency finds himself in pursuit of a Chevrolet Malibu that is wanted for a $20,000 bounty - and has something otherworldly stashed in its trunk.","Action, Comedy, Crime",1984
The Muppets Take Manhattan,Kermit and his friends go to New York City to get their musical on Broadway only to find it's a more difficult task than they anticipated.,"Adventure, Comedy, Drama",1984
Dead Men Don't Wear Plaid,Film noir parody with a detective uncovering a sinister plot. Characters from real noirs appear as scenes from various films are intercut.,"Comedy, Crime, Mystery",1982
Creepshow,An anthology which tells five terrifying tales based on the E.C. horror comic books of the 1950s.,"Comedy, Fantasy, Horror",1982
48 Hrs.,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.","Action, Comedy, Crime",1982
Stripes,Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun.,"Comedy, War",1981
History of the World: Part I,Mel Brooks brings his one-of-a-kind comic touch to the history of mankind covering events from the Old Testament to the French Revolution in a series of episodic comedy vignettes.,"Comedy, History, Musical",1981
Conan the Barbarian,"A young boy, Conan, becomes a slave after his parents are killed and tribe destroyed by a savage warlord and sorcerer, Thulsa Doom. When he grows up he becomes a fearless, invincible fighter. Set free, he plots revenge against Thulsa Doom.","Action, Adventure, Fantasy",1982
Clash of the Titans,Perseus (Harry Hamlin) must battle Medusa and the Kraken to save the Princess Andromeda (Judi Bowker).,"Action, Adventure, Family",1981
Arthur,"Arthur spends his time with booze and whores. His dad has a wife lined up for him that he keeps rejecting - until it's her or being cut off from $750,000,000. Then he goes shopping where he falls in love with a shoplifter.","Comedy, Romance",1981
Absence of Malice,"When a prosecutor leaks a false story that a liquor warehouse owner is involved in the murder of a union head, the man's life begins to unravel.","Drama, Romance, Thriller",1981
Altered States,A Harvard scientist conducts experiments on himself with a hallucinatory drug and an isolation chamber that may be causing him to regress genetically.,"Horror, Sci-Fi, Thriller",1980
Heaven Can Wait,"A Los Angeles Rams quarterback, accidentally taken away from his body by an overanxious angel before he was meant to die, returns to life in the body of a recently murdered millionaire.","Comedy, Fantasy, Romance",1978
Coma,When a young female doctor notices an unnatural amount of comas occurring in her hospital she uncovers a horrible conspiracy.,"Drama, Horror, Mystery",1978
Capricorn One,"A NASA Mars mission won't work, and its funding is endangered, so they decide to fake it just this once. But then they have to keep the secret.","Action, Adventure, Drama",1977
The Rescuers,Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.,"Animation, Adventure, Comedy",1977
Silver Streak,"On a long-distance train trip, a man finds romance but also finds himself in danger of being killed, or at least pushed off the train.","Action, Comedy, Crime",1976
The Stepford Wives,"Joanna Eberhart has come to the quaint little town of Stepford, Connecticut with her family, but soon discovers there lies a sinister truth in the all too perfect behavior of the female residents.","Horror, Mystery, Sci-Fi",1975
Rooster Cogburn,Marshal Rooster Cogburn unwillingly teams up with Eula Goodnight to track down her father's murderers.,"Adventure, Drama, Western",1975
Sisters,"A fledgling Staten Island journalist witnesses a brutal murder in the neighboring apartment of a French-Canadian model, but the police do not believe that the crime took place. With the help of a private detective, she seeks out the truth.","Horror, Mystery, Thriller",1972
Charlotte's Web,A gentle and wise grey spider with a flair for promotion pledges to save a young pig from slaughter for dinner food.,"Animation, Family, Musical",1973
Slaughterhouse-Five,A man named Billy Pilgrim tells the story of how he became unstuck in time and was abducted by aliens.,"Comedy, Drama, Sci-Fi",1972
The Mechanic,An aging hitman befriends a young man who wants to be a professional killer. Eventually it becomes clear that someone has betrayed them.,"Action, Crime, Thriller",1972
Love Story,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,"Drama, Romance",1970
Chitty Chitty Bang Bang,"A down-on-his-luck inventor turns a broken-down Grand Prix car into a fancy vehicle for his children, and then they go off on a magical fantasy adventure to save their grandfather in a far-off land.","Adventure, Family, Fantasy",1968
The Last Man on Earth,"When a disease turns all of humanity into the living dead, the last man on earth becomes a reluctant vampire hunter.","Drama, Horror, Sci-Fi",1964
The Alamo,"In 1836, a small band of soldiers sacrifice their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.","Adventure, Drama, History",1960
Extraction,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","Action, Thriller",2020
The Way Back,"Jack Cunningham was an HS basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.","Drama, Sport",2020
Yesterday,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.,"Comedy, Fantasy, Music",2019
Ready or Not,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,"Comedy, Horror, Mystery",2019
Brittany Runs a Marathon,A young woman decides to make positive changes in her life by training for the New York City Marathon.,"Comedy, Drama",2019
The Call of the Wild,A sled dog struggles for survival in the wilds of the Yukon.,"Adventure, Drama, Family",2020
Teen Titans Go! To the Movies,A villain's maniacal plan for world domination sidetracks five teenage superheroes who dream of Hollywood stardom.,"Animation, Action, Adventure",2018
Always Be My Maybe,"Everyone assumed Sasha and Marcus would wind up together except for Sasha and Marcus. Reconnecting after 15 years, the two start to wonder - maybe?","Comedy, Romance",2019
22 July,"A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case.","Crime, Drama, History",2018
A Simple Favor,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.","Comedy, Crime, Drama",2018
Bombshell,A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.,"Biography, Drama",2019
Life Itself,"As a young New York City couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes.","Drama, Romance",2018
Wildlife,A teenage boy must deal with his mother's complicated response after his father temporarily abandons them to take a menial and dangerous job.,Drama,2018
Victoria & Abdul,Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.,"Biography, Drama, History",2017
Spies in Disguise,"When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world.","Animation, Adventure, Comedy",2019
You Were Never Really Here,"A traumatized veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.","Crime, Drama, Mystery",2017
Kingsglaive: Final Fantasy XV,"King Regis, who oversees the land of Lucis, commands his army of soldiers to protect the kingdom from the Niflheim empire's plans to steal the sacred crystal which gives Lucis its magic and power.","Animation, Action, Adventure",2016
A Futile and Stupid Gesture,"In the 1970s and '80s, National Lampoon's success and influence creates a new media empire overseen in part by the brilliant and troubled Douglas Kenney.","Biography, Comedy",2018
To the Bone,"A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life.",Drama,2017
All the Money in the World,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,"Biography, Crime, Drama",2017
The Exception,"A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.","Drama, Romance, War",2016
Bumblebee,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.","Action, Adventure, Sci-Fi",2018
Collateral Beauty,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time, and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.","Drama, Romance",2016
Storks,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.","Animation, Adventure, Comedy",2016
Truth,"Newsroom drama detailing the 2004 CBS 60 Minutes report investigating then-President George W. Bush's military service, and the subsequent firestorm of criticism that cost anchor Dan Rather and producer Mary Mapes their careers.","Biography, Drama, History",2015
A United Kingdom,"The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil.","Biography, Drama, History",2016
Tolkien,"The formative years of the orphaned author J.R.R. Tolkien as he finds friendship, love and artistic inspiration among a group of fellow outcasts at school.","Biography, Drama, Romance",2019
It Follows,A young woman is followed by an unknown supernatural force after a sexual encounter.,"Horror, Mystery, Thriller",2014
Comet,"Set in a parallel universe, Comet bounces back and forth over the course of an unlikely but perfectly paired couple's six-year relationship.","Comedy, Drama, Romance",2014
Obvious Child,A twenty-something comedienne's unplanned pregnancy forces her to confront the realities of independent womanhood for the first time.,"Comedy, Drama, Romance",2014
Veronica Mars,"Years after walking away from her past as a young private eye, Veronica Mars gets pulled back to her hometown, just in time for her high school reunion, in order to help her old flame Logan Echolls, who's embroiled in a murder mystery.","Crime, Drama, Mystery",2014
Mr. Turner,"An exploration of the last quarter century of the great, if eccentric, British painter J.M.W. Turner's life.","Biography, Drama, History",2014
Spectre,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.","Action, Adventure, Thriller",2015
Draft Day,"At the NFL Draft, General Manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with NFL dreams.","Drama, Sport",2014
Long Shot,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.","Comedy, Romance",2019
Trouble with the Curve,"A daughter tries to remedy her dysfunctional relationship with her ailing father, a decorated baseball scout by helping him in a recruiting trip which could be his last.","Drama, Sport",2012
Sleepwalk with Me,"A burgeoning stand-up comedian struggles with the stress of a stalled career, a stale relationship, and the wild spurts of severe sleepwalking he is desperate to ignore.",Comedy,2012
Smashed,A married couple whose bond is built on a mutual love of alcohol gets their relationship put to the test when the wife decides to get sober.,Drama,2012
The Finest Hours,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,"Action, Drama, History",2016
A Most Wanted Man,"A Chechen Muslim illegally immigrates to Hamburg, where he gets caught in the international war on terror.","Crime, Drama, Thriller",2014
Sinister,Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies which suggest the murder he's currently researching is the work of a serial killer whose work dates back to the 1960s.,"Horror, Mystery, Thriller",2012
Kodachrome,"Set during the final days of the admired photo development system known as Kodachrome, a father and son hit the road in order to reach the Kansas photo lab before it closes its doors for good.",Drama,2017
The East,An operative for an elite private intelligence firm finds her priorities changing dramatically after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.,"Adventure, Drama, Thriller",2013
Last Love,"He's a widower in Paris who speaks no French. She's a dance instructor less than half his age. Can they become a family, or will his estranged adult children halt the friendship?","Comedy, Drama, Romance",2013
Chappie,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.","Action, Crime, Drama",2015
The Maze Runner,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.","Action, Mystery, Sci-Fi",2014
No Escape,"In their new overseas house, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed.","Action, Thriller",2015
Stonehearst Asylum,"An Oxford graduate takes up a job in a mental asylum, only to discover that the ""revolutionary"" new treatments are inhumane, and that there is more going on than meets the eye.","Drama, Horror, Thriller",2014
Odd Thomas,"In a California desert town, a short-order cook with clairvoyant abilities encounters a mysterious man with a link to dark, threatening forces.","Comedy, Fantasy, Horror",2013
The First Time,A shy senior and a down-to-earth junior fall in love over one weekend.,"Comedy, Drama, Romance",2012
Jersey Boys,The story of four young men from the wrong side of the tracks in New Jersey who came together to form the iconic 1960s rock group The Four Seasons.,"Biography, Drama, Music",2014
Bernie,"In small-town Texas, an affable mortician strikes up a friendship with a wealthy widow, though when she starts to become controlling, he goes to great lengths to separate himself from her grasp.","Biography, Comedy, Crime",2011
Stoker,"After India's father dies, her Uncle Charlie, whom she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him.","Drama, Thriller",2013
Bleed for This,"The inspirational story of World Champion Boxer Vinny Pazienza who, after a near fatal car crash which left him not knowing if he'd ever walk again, made one of sport's most incredible comebacks.","Biography, Drama, Sport",2016
The Vow,"A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again.","Drama, Romance",2012
The Grey,"After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step.","Action, Adventure, Drama",2011
Insidious,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,"Horror, Mystery, Thriller",2010
Machine Gun Preacher,Sam Childers is a former drug-dealing biker tough guy who found God and became a crusader for hundreds of Sudanese children who've been forced to become soldiers.,"Action, Biography, Crime",2011
Puncture,A David and Goliath law drama about a drug-addicted lawyer who takes on a health supply corporation while battling his own personal demons.,"Biography, Drama",2011
The Skeleton Twins,"Having both coincidentally cheated death on the same day, estranged twins reunite with the possibility of mending their relationship.","Comedy, Drama, Romance",2014
Restless,The story of a terminally ill teenage girl who falls for a boy who likes to attend funerals and their encounters with the ghost of a Japanese kamikaze pilot from WWII.,"Drama, Romance",2011
The Iceman,"The story of Richard Kuklinski, the notorious contract killer and family man. When finally arrested in 1986, neither his wife nor daughters had any clue about his real profession.","Biography, Crime, Drama",2012
